,name,Likes,tags,quote
187,Gretchen Anthony,1 likes,"authors,stories,storytellers",“Stories are shaped by the ones who tell them.”
188,Beem Weeks,1 likes,"anonymity,anonymous,anonymous-authorship,authors,beem-weeks,writers",“Anonymity is the calling card of the fearful and the courage of the cowardly.”
189,Beth Harbison,1 likes,"authors,cheeses,cookbooks,recipes,soups,vegetarian-diet",“
190,John Henry Spencer,1 likes,"authors,book-collecting,books","“... books were not so prolific or so easily procurable from public libraries, and then many a reader had his own little collection of books of which he was proud. He knew them and loved them and had his favourite authors. His books were amongst his greatest friends, they were there to make his heart rejoice or to afford him consolation in distress.”"
191,Stuart Kells,0 likes,"authors,bibliophile,books-on-authors,libraries,literature,manuscript,mystery,shakespeare","“For every species of book person, the idea of Shakespeare’s library—his personal collection of manuscripts, books, letters and other papers—is enticing, totemic, a subject of wonder. How did he write? Who inspired him? Who appalled him? To know Shakespeare’s books is to know Shakespeare the author.”"
192,Stuart Kells,0 likes,"authors,bibliophile,books-on-authors,libraries,literature,manuscript,mystery,shakespeare","“If Shakespeare was another Barrington—just an allonymous brand, just a gormless frontman—then there had to be a Machiavelli in the background—a cunning architect of an elaborate bibliographical hoax. How could such a thing be done? And what kind of person could pull it off?”"
193,Glenn Hefley,0 likes,"authors,fiction,originality,storytelling,writing","“You will never write like your favorite author, unless god hates you or something.”"
194,Sheila Holt,0 likes,"author-quotes,authors,books,business-advice,business-quotes-business-success,business-success,people-quotes,why-we-do-what-we-do","“When your ‘why’ is clear and greater than yourself, it will attract other people and resources to support it.”"
195,Adrienne Posey,0 likes,"ad-posey,adrienne-posey,authors,chapter,novel-writing,novelists,writer,writers,writing",“Every chapter is an adventure.”
196,Adrienne Posey,0 likes,"ad-posey,adrienne-posey,authors,inspiration,novelists,screenwriters,writer,writers,writing,writing-inspiration","“Cry while writing it, and readers will cry while reading it.”"
197,Barbara O'Neal,0 likes,"authors,like-water-chocolate-esquivel,magical-realism",“I noticed a lot of magic realism- Salman Rushdie and Gabriel García Márquez and Alice Hoffman. I tugged down Laura Esquivel's
198,Jeff Bezos. Ceo. Amazon,0 likes,"amazon,authors,readers,readers-and-writers",“I'm going to go do this crazy thing. I'm going to start this company selling books online.”
199,Muriel Spark,0 likes,"author,authors,editing,proofreading,publishing-books","“Connie's other job was proof-editing which she did very badly. Transferring the author's corrections to a clean sheet of proofs was something Connie was unable to do without missing an average of three corrections a page, or transcribing newly inserted material all wrong... she put angry authors' letters about the mutilation of their books under the cushion of her chair to deal with later”"
200,Ted Mallory,0 likes,"authors,literature,poetry,reading",“Like a ravenous dog
201,Charlotte Eriksson,0 likes,"art,artist,authors,beautiful,career,free,life,poet,travel,writer","“I get so small down there. I think of people and their words. Disappointments and all the rest, but up here, somewhere else, I feel vast. I feel whole. I feel the magic of life, I see the divine in the sky, unbearably excited about this world and my place in it, how I turned myself into a writer who moves with the seasons, wander and seek, teach and learn. Offer small moments of comfort, maybe? hopefully?"
202,Isaac Samuel Miller,0 likes,"authors,bookbloggers,bookclubs,booklovers,bookreviewers,readers",“Don't Let One Stop In Your Life Represent an Eternity of No's.”
203,Loren Weisman,0 likes,"authors,brand-messaging-strategist,fish-stewarding-group,fsg-messaging-and-optics,loren-weisman-quotes,messaging-quotes","“We have noticed a rise in companies that allow you to purchase what we term as a prefabricated book. These books fall into one of the genres of success or coaching toward business, health, wealth, and sales to name just a few. You simply buy a system that you download which allows you to move some chapters around, change a few words, headers, add a few stories of your own, create a book cover, publish as an eBook or print on demand, and wham, you’re an author.”"
204,Suzy  Davies,0 likes,"architecture,authors,building,buliders,structure,writers","“As a child, I was fascinated by construction sites. Later, I worked on them, selling houses. I love the whole idea of building in the literal, and the metaphorical sense. Good writers are good architects and builders - it's all about structure.”"
205,Loren Weisman,0 likes,"author,authors,books,brand-messaging-strategist,fsg-messaging-and-optics,loren-weisman,publishing-books","“Anyone can publish a book. Anyone can be an author. But, not everyone has the authority, authenticity or expertise.”"
206,Loren Weisman,0 likes,"authenticity,authoring,authors,brand-messaging-strategist,loren-weisman,quotes,writing",“Take the time to focus on what you authored to showcase your authority over just bragging about being an author to build your popularity and engagement.”
207,Adebola Adisa,0 likes,"aspiring-writers,author-quotes,authors,how-to-write,how-to-write-a-book,reading,writing",“Everyone has a book in them!
208,Nelu Lazar,0 likes,"authors,musicians,perception",“music is like a word for the poetry.
209,R.P. Falconer,0 likes,"authors,birds-quotes,caged-animal,creativity-quotes,creativity-writing-quote,freedom-quotes,procrastination-quotes,r-p-falconer-quotes,writing-philosophy",“A pen in a case is like a bird in a cage.”
210,Nanette L. Avery,2 likes,"authors,books,butterfly,critic,criticism,good-days,novels,reviewed,reviewers,reviews","“An author’s great day is releasing your book into the world like a butterfly and having a reviewer come upon it and say…oh, that’s lovely!”"
211,Hilton Als,2 likes,"america,authors,messing-up,novelists,slavery,toni-morrison,writers","“Toni’s greatness as a novelist had a lot to do with her skill—her great ability—to show how we mucked up the landscape, not just in the world, but in ourselves. Slavery was one way we mucked it up, of course, and the enormous wound at the center of “Beloved” (1988) has to do with how slavery not only killed bodies, but made a mess of our minds, thus creating a particularly American way of thinking.”"
212,Shivi Goyal,2 likes,"authors,inspirational,life-quotes-and-sayings,love-hurts,motivational","“We can't stop anyone to love somebody, neither we could stop someone to go away! What we can do is to just love truly.”"
213,Mwanandeke Kindembo,2 likes,"authors,mwanandeke-kindembo,payment,price,reading-books",“Continuous reading is the price that each author must pay.”
214,Alexander Pope,1 likes,authors,“Authors are partial to their wit”
215,Alek Wahyu Nurbista Lukmana,1 likes,"author,authors,poem,poems,poet,poetry,poets,quote,quotes","“Aku selalu larut pada keindahanmu, tidak cukup bagiku hanya menguntai kata perihal dirimu, pesonamu bak gemintang yang memberi kesejukan, gemulaimu bak rembulan yang selalu bersinar tatkala gelap bermunculan.”"
216,Richie Norton,1 likes,"author,authors,books,crazy,pretend,richie-norton,talk-to-self,write,writers",“Authors. We write to pretend we're not crazy for talking to ourselves.”
217,Jay Kristoff,1 likes,"authors,writers","“My mother teases my father, saying he can only create people, while authors can create entire worlds. Father always smiles and replies, “Give me time, love.”"
218,Shivi Goyal,1 likes,"author-quotes,authors,blogger,life-hacks,life-lessons,life-quotes,motivational-quotes,women-empowerment,writer","“Just let it go, Please don't come back."
219,Kevin Ansbro,1 likes,"authors,books,bookworm,bookworms,literature,readers,readers-and-writers,reading-books,reading-quotes,writers",“Writers are only ever as good as their readers.”
220,Nithin Purple,0 likes,"authors,forlorn-quotes,love-quotes,nithin-purple,nithin-purple-quotes,poetic-quotes,poets,promise-quotes,romantic-quotes,solitude-quotes","“Solitude itself your happiness,when a train of some promised words break like beads from the Heart's decked chain.”"
221,Nithin Purple,0 likes,"authors,hatred-quotes,inspirational-quotes,literature-today,nithin-purple,nithin-purple-quotes,poetry,wander-quotes,writers",“You must never wander for a chance to beloved from the same hatred you once hide.”
222,Anurag Shourie,0 likes,"authors,creative-writing,love-quote,readers,storytellers,storytelling,writer,writers,writers-on-writing,writers-quotes","“Story-telling is a lot like making love. There are rules, yet there are no rules. You must keep your lover engaged; keep pressing the right buttons. Make the reader look forward to your next move with bated breath. Build up the tension and let it explode in the climax."
223,Trevor Carss,0 likes,"authors,creative-writing,writers-on-writing,writing,writing-advice,writing-process",“Stare at the blank screen for at least an hour until it bleeds. It will bleed.”
224,Alek Wahyu Nurbista Lukmana,0 likes,"author,authors,love,poetry,poetry-quotes,quote,quotes,romance","“Sebagaimana senja senantiasa menyapa manusia, sebagaimana gemintang senantiasa menemani rembulan. Sebagaimana puisi yang berkasih sayang. Begitupula aku yang merangkulmu, pada cinta untuk kembali pulang.”"
225,Alek Wahyu Nurbista Lukmana,0 likes,"author,authors,poem,poet,poetry,poets,quotes","“Kekasih, dalam masa yang entah kapan aku pun tak mengetahuinya. Namun, amatilah gunung-gunung yang senantiasa bergerak itu, amatilah langit yang sering kali tampak begitu dekat, amatilah lautan yang mulai beranjak naik. Dan, amatilah aku hingga engkau lelah serta berpaling dari pada aku.”"
226,Alek Wahyu Nurbista Lukmana,0 likes,"author,authors,poem,poems,poet,poetry,poets,quote,quotes","“Aku selalu berhasil menulis semua keindahan yang ada, namun tidak dengan dirimu. Ujung penaku seakan tak mampu untuk menuliskan akhir dari sebuah cerita.”"
227,Nithin Purple,0 likes,"authors,literary-quotes,nithin-purple,nithin-purple-literature,nithin-purple-poems,nithin-purple-poet,poetry-quotes,romantic-quotes,romantic-songs,writers","“As I always mingle with you poesy,with a half lip of smile,my heart is so in frail and mind in ponder,without knowing how to Love you deeper,for what you gave me as another sun shine.”"
228,Mayor Deah,0 likes,"authors,change,change-the-world-quotes,mayordeah,nigeria-and-africa,nigerian-proverb,nigerian-quote,quotes,quotes-twitter",“The Nigeria we see today is the Nigeria we'll see tomorrow if we fail to do something now to change the things we don't like about Nigeria.”
229,Shivi Goyal,0 likes,"authors,authors-quote,life-quotes,quotes-to-live-by,thought,writers,writers-quotes","“Fuck the world with your attitude, to live for, needed for this life!”"
230,A.K. Kuykendall,0 likes,"authors,creatives,film-industry,hollywood,writers","“Hollywood keeps recycling what worked back then, what worked back when, but nothing new. I believe their breakout hit has been written. Written either by me? Written either by you? Indie writers, authors, and creatives can, again, be Hollywood's salvation, but Hollywood must first get a fucking clue.”"
231,Henry Miller,0 likes,"authors,books",“
232,Oscar Trejo Jr.,0 likes,"authors,inspiration,literature,writing","“Writers are decent people, they live quiet, normal lives while working to perfect their craft."
233,Oscar Trejo Jr.,0 likes,"authors,fiction,inspirational,literature,stories,writing","“When reading a short story, most people love happy endings, they love when the protagonist overcomes the odds.. and since I enjoy the uniqueness of my thoughts and since I'm not 'Most People', I always tend to be critical of the protagonist. I always tend to have a few unexpected surprises for that Protagonist and try to make life as difficult as I can for that Protagonist, just to give the antagonist a fair shot.”"
234,Josh Steimle,0 likes,"authors,authors-on-writing,book-writing,content-marketing,writing","“Before you try to create a viral book, create a viral idea.”"
235,Noha Alaa El-Din,0 likes,"authors,imagination,life,translators,writers,writing","“One of the main privileges of being a writer is that you go around and about. Then, you translate those scenes you capture in mind into words powered by your spicy imagination. Translators translate what's already been translated.”"
236,Andy Ross,0 likes,"authors,books,publishing","“Peter [Peter Ginna] has been a book editor for over 30 years. He has worked at Bloomsbury USA, Oxford University Press, Crown Publishers, and St. Martin's Press. Authors he has worked with include James McPherson, David Hackett Fischer, David Oshinsky, Daniel Ellsberg (my client), and Suze Orman.”"
237,Andy Ross,0 likes,"authors,books,publishing","“Peter [Ginna, Peter]has been a book editor for over 30 years. He has worked at Bloomsbury USA, Oxford University Press, Crown Publishers, and St. Martin's Press. Authors he has worked with include James McPherson, David Hackett Fischer, David Oshinsky, Daniel Ellsberg (my client), and Suze Orman.”"
238,Glenn Hefley,0 likes,"authors,fiction,writers-on-writing,writers-quotes,writing,writing-quotes","“Personification, that's what writers do;"
239,Antoine Lilti,0 likes,"authors,celebrity,objectification","“The success of a book, far from elevating its author, belittled him, transforming him into merchandise.”"
240,Craig D. Lounsbrough,20 likes,"authors,beliefs,books,ideas,publishing,reading,transformation,wordsmith,writing","“It's really not about reading a good book.  Rather, it about being transformed by great ideas.”"
241,Samuel Johnson,3 likes,"authors,civility,insincerity,sarcastic-humor",“The reciprocal civility of authors is one of the most risible scenes in the farce of life.”
242,Bethany Atazadeh,3 likes,"authors,book-marketing,writers","“The truth is, you could write a masterpiece, but if you're hiding it under a rock, no one will ever know.”"
243,Bethany Atazadeh,3 likes,"authors,book-marketing,writers","“Good marketing is reminding your readers regularly about all the valuable things you want to give them out of your own experience, including your book, in a new and genuine way.”"
244,Jeanette Winterson,2 likes,"authors,books,books-that-made-me,reading,the-guardian",“Reading is a life-long collision with minds not like your own.”
245,Amor Towles,2 likes,"authors,books,death-of-the-novel,editing,editors,grammar,novels","“But after the war, when editors like Martin Durk came to prominence by trumpeting the timely death of the novel, Parish opted for a reflective silence. He stopped taking on projects and watched with quiet reserve as his authors died off one by one--at peace with the notion that he would join them soon enough in that circle of Elysium reserved for plot and substance and the judicious use of the semicolon.”"
246,Veronica Chambers,1 likes,"authors,quotes,transition,writing","“Writing is architectural. Letters become words, and words become sentences, and sentences become paragraphs, and paragraphs become chapters and chapters become books.”"
247,Lillian Hellman,1 likes,"authors,books,dashiell-hammett,potboilers,quality,sanctuary,william-faulkner,writers","“Hammett used to be irritated by that and would answer that nobody ever deliberately wrote a potboiler, you just did the best you could and woke up to find it good or no good.”"
248,Craig D. Lounsbrough,1 likes,"authors,books,entertainment,eternity,publishing,reading,wordsmith,writing",“Real writing is about changing lives for eternity rather than entertaining a life for a moment.”
249,Jessica de la Davies,1 likes,"authors,books,inspiration,reading,writers,writers-block,writing,writing-advice",“Write.
250,Laurie Buchanan PhD,1 likes,"author,authors,writer,writers,writers-life,writing,writing-creative-process,writing-process","“Writer's don't write, they're written through.”"
251,Bethany Atazadeh,1 likes,"authors,marketing,writers","“Your book sells itself—OR doesn’t sell itself—in ten specific ways. We’re going to spend some time talking about each one of them in depth, asking you specific questions to see if you are using each of these aspects of your book to their fullest potential, but let’s start by taking a look at all ten of them together:"
252,A.K. Kuykendall,1 likes,"author,authors,writer,writer-advice,writers-on-writing,writing",“You'll never know if you've created or will create that one story worth a million dollars. Keep writing!”
253,Mehmet Murat ildan,1 likes,"authors,depths,depths-quotes,lives-of-others,mehmet-murat-ildan-quotes,other-lives,writers","“Without writers, we could never dive into the depths of other lives!”"
254,Justina Omochere,1 likes,"authors,fiction,fiction-writing,love,novel,novel-writing,passion,writers",“Whoever defined fiction as an untrue event owe us an apology for fiction lives in me; fiction lives in us.”
255,Leigh Shulman,0 likes,"achievement,authors,dreams,goals,writers,writing",“It's your turn to stop struggling to make a living writing and make your writing dreams come true.”
256,Sasha Azevedo,0 likes,"authors,education,experience,inspiration,life,people,sasha-azevedo,teachers,the-greatest-teacher,wisdom","“We can teach from our experience, but we cannot teach experience.”"
257,A.K. Kuykendall,0 likes,"author,authors,novelist,novelists,storytellers,storytelling,writers,writing","“We're all in a steel cage, jousting for literary relevance among a sea of true talent. Our way out of this Thunderdome is not through any given contract by any given publisher. Our way out, the key needed to escape said cage is in our sui generis ability to tell the shit out of a story. Go forward, woke.”"
258,A.K. Kuykendall,0 likes,"authors,dreamers,keep-moving-forward,succeed-in-anything,writers","“The dictionary is the ONLY place where success comes before work. To hell with the detractors. Keep writing, reading, dreaming, succeeding, etcetera.”"
259,Lauren Groff,0 likes,"americans,authors,condescension,europeans,facts,knowledge,novelists,writers","“Then she wants to say that, oh, Christ, of course she knows, the condescension Europeans shower on Americans is not always warranted; she's a novelist, which is tantamount to being a one-woman card catalogue for useless knowledge.”"
260,Bernard Kelvin Clive,0 likes,"author-quotes,authority,authors,creativity-quotes,personal-branding,writers,writing-advice,writing-quotes",“Authors create and curate but not copy”
261,Craig D. Lounsbrough,0 likes,"authors,books,change,message,reading,transform,wordsmiths,writing","“A good book delivers a great message.  And while such a message should touch the reader in a good way, it must transform them in a great way.”"
262,George G. Asztalos,0 likes,"authors,books,george-g-asztalos,goodread-quotes,quotes,writers",“The difference between the oldest and the most stupid job you do is that one is selling herself and the other is selling you.”
263,Robin Sacredfire,0 likes,"authors,authorship,books,ebooks,publishing,writers,writing-books,writing-ebooks","“Writing a book is a job, like any other. It requires research, analysis, testing, and entire days in front of a laptop, typing, reading, editing, proofreading, etc. If books were free, writers wouldn't have time to write, because they would be too busy, working on something else. It is hard to sacrifice your social life and weekends to write books when you need to keep a job or more at the same time. In this sense, when an author offers a book, he is disrespecting himself, insulting his past efforts to get him where he is now, and devaluing his own work. The idea that ebooks shouldn't cost more than a few dollars is actually already an underestimation of the value offered. And the idea that a person should get a book for free is contradictory to the purpose of obtaining value from the reading. That is why writers should never offer books and readers should always be willing to pay anything for what they want to read.”"
264,Bethany Atazadeh,0 likes,"authors,book-title,marketing","“When you boil it down, a title is a business decision.”"
265,Oliver Markus Malloy,0 likes,"author-quotes,authors,sassy,sassy-quotes,writers-on-writing,writers-quotes,writing-life,writing-quotes,writing-tips",“I call my writing style 'Short-Attention-Span Stand-Up.' Or SASSU for short. Sassy.”
266,Nithin Purple,0 likes,"authors,books,halcyon,halcyonwings,nithin-purple,penetrating-poetry,poems,poerty,poesy,romanticpoems","“Oft When Somber shadows veil the human laughter,and lowly made depression its doom above us sink,from agonal mind with grief that drive's and batter mark'd by the sails of lonely hours that steep to think.”"
267,Nithin Purple,0 likes,"author-support,authors,motivation-quotes,muse,music,poetry,romantic-books,venus-and-crepuscule,writers","“When there is fear,he will have his pen clasp it high,whence for him,the wonders of night give light,where he lies behind his own familiar world nigh,holding an inquisitive heart pressed by thoughts to fight.”"
268,Nithin Purple,0 likes,"authors,book-gallery,calm-quotes,english-books,imagination-quotes,independent-books,nature-quotes,peace-quotes,venus-and-crepuscule","“A calm respite below the emerald tinged trees shade, my dream beaded one, another,"
269,Justina Omochere,0 likes,"authors,love,novel,novel-writing,passion,passionate-living,script,script-writing,writers,writing-process",“Every event is a resource material.”
270,Kailin Gow,24 likes,"authors,change-the-world,critics,strong-female-characters,strong-women","“If there is any indication of how an author and her books can affect change, look at the proof of her works on society. And ignore the critics and the trolls. -Strong by Kailin Gow on How Her Indie Success helped motivate and inspired others to become authors and how her books with strong women leads helped the film industry to portray more strong women leads”"
271,Kailin Gow,8 likes,"authors,leadership,role-models,strong","“If you write books, you become a person of authority. Live it nobly. With authority comes the responsibility of leading. Lead wisely. - Strong by Kailin Gow on Authors Must Be Good Role Models”"
272,Brandt Legg,5 likes,"artists,authors,creating,creative,truth,writers,writing","“There are a million ways to create. It’s not always typing words, painting pictures, or acting in a play. And you don’t get to decide which is correct.”"
273,Ray Bradbury,5 likes,authors,"“Everywhere you look in the literary cosmos, the great ones are busy loving and hating.”"
274,Robert Nozick,4 likes,"authors,books","“There are few books that set out what a mature person can believe - someone fully grown up, I mean. Aristotle's 'Ethics', Marcus Aurelius's 'Meditations', Montaigne's 'Essays', and the essays of Samuel Johnson come to mind. Even with these, we do not simply accept everything that is said. The author's voice is never our own, exactly; the author's life is never our own. It would be disconcerting, anyway, to find that another person holds precisely our views, responds with our particular sensibility, and thinks the same things important. Still, we gain from these books, weighing and pondering ourselves in their light. These books - and also some less evidently grown-up ones, Thoreau's 'Walden' and Nietzsche's writings, for example - invite or urge us to think along with them, branching in our own directions. We are not identical with the books we read, but neither would we be the same without them.”"
275,Ljupka Cvetanova,4 likes,"aphorisms,authors,books,disqualify,irony,publishing,quality,readers,sarcasm,time","“So many authors, so little time to disqualify them!”"
276,John Boyne,2 likes,"authors,interpretation-of-literature,writing",“(Cyril and Alice talking about Maude Avery and her books)
277,Brandt Legg,2 likes,"authors,books,ebooks,librarians,libraries,write,writers,writing","“An ebook is like having a photo of a dead loved one. It’s convenient to look at and it will stir the mind, but it doesn’t breathe.”"
278,أنيس منصور,2 likes,authors,“وتكون متعتي أن انتقل بين المؤلفين وبين جنات أفكارهم أو غاباتها .. فبعض المؤلفين يقف على أطراف أصابعه ويقطف المعى من شجرة عالية .. وبعض المؤلفين يتسلق الأشجار ويتصيد المعاني .. وبعض المؤلفين يسليك وهو يمد يده ويدك لكي يجد المعنى”
279,Nanette L. Avery,1 likes,"authors,authorship-writing,books-quotes,discovery,go-with-the-flow,perseverance,writing,writing-books,writing-life",“Authors are akin to caterpillars; they wrap themselves in a cocoon and emerge with a butterfly or sometimes with a moth...”
280,Suzy  Davies,1 likes,"authors,books,discovery,identity,process,readers,writers","“With Writing, You Lose Yourself, Find Yourself, and Become Someone Else. Writing Changes The Writer and The Reader. It Goes to The Core of Your Being, Challenges Your Pre-Suppositions. It Leaves You Satisfied, and Unsatisfied.”"
281,Brandt Legg,1 likes,"authors,books,libraries,readers,reading,truth,writers,writing","“He believed in books, more than in people, because everything was discoverable within the pages. Read and think, and one could understand.”"
282,Brandt Legg,1 likes,"authors,books,fear,librarian,libraries,reading,truth,writers,writing","“Books are more than words, they’re dreams, ideas, and answers, and that is why they fear them”"
283,Suzy  Davies,1 likes,"actors,authors,boundaries,characteristics,empathy,the-self,understanding,writers","“Good writers always have a strong sense of who they are and who they are not. Like actors, their boundaries are strong, and fluid. They have a deep understanding of the human condition, and an empathy that is not so diffuse that it is diluted.”"
284,Adele  Rose,1 likes,"authors,books,inspirational,readers,reading,writers",“Believe in yourself and readers will believe with you!”
285,Oliver Markus Malloy,1 likes,"author-quotes,authors,authors-on-writing,writers,writers-on-writing,writers-quotes,writing,writing-life","“Everyone thinks they are above average, which is statistically impossible. There have to be below average writers. But nobody sees themselves that way. That means there are a whole lot of bad writers out there, who don't even know it.”"
286,Elle Beaumont,1 likes,"authors,inspirational",“Authors are like faeries! You have to clap if you believe.”
287,N.R.Hart,1 likes,"authors,creative-writing,poet,poetry,poetry-quotes,writer,writing",“As a writer you try to listen to what others aren't saying...and write about the silence.”
288,Loren Weisman,0 likes,"authority,authors,authorship,expert,knowledge,loren-weisman,publishing,quotes,weis-words",“Publishing a book does not make you an authority or an expert. Authorship doesn’t not equal authority.”
289,Benjamin Percy,0 likes,"authors,writers,writing","“You’ve got to write every day as if you were clocking in for a job. Or if not every day, then damn near it. If you’re not disciplined in your production—if you’re writing only when the mood strikes or when a deadline looms—then naturally you’ll be more protective of your work, so that when it comes time to cut, your saw will tremble with hesitation. But if you’re producing reams of pages, you’ll be less resistant to revision, because you know it won’t be long before another load of timber comes down the road.”"
290,Robin Sacredfire,0 likes,"author,authors,books,bookstore,writer,writers","“Do not insult a writer by asking him questions related to books written by someone else. If you are not reading the books written by the author you question, you are an hypocrite and a cynical, and you deserve no answers.”"
291,Robin Sacredfire,0 likes,"authors,dan-brown,eckhart-tolle,j-k-rowling,nonsense,rhonda-byrne,stupidity,tim-ferris,writers","“If you ask for my opinion in what regards Tim Ferris, Eckhart Tolle, Rhonda Byrne, Dan Brown and J. K. Rowling, you are assuming that I am in a position to judge their work, which makes me better than them. But if you are reading their books are not mine, you are wasting my time with your ignorance and nonsense.”"
292,FIDELIS O MKPARU 2019,0 likes,"african-writers,authors,closeness,friendship,love,love-quotes,lovers,nigeria-writers,snow-day,snuggle",“How long has it been since you and me? Hugs and kisses. Blankets and snuggles. Our sparks smoldering without a fireplace. Losing time is not losing you. It strengthens my yearning for you.”
293,Jc Morrows,0 likes,"advice,authors,fantasy,indulgencence,writing,writing-life",“Fictional worlds are a great place to indulge in unspoken fantasies. . .  like writing the dad you never had. . . but desperately wanted growing up.”
294,Oliver Markus Malloy,0 likes,"author-quotes,authors,authors-life,writers-life,writers-on-writing,writers-quotes,writing,writing-tips",“Getting fan mail from your readers is one of the greatest feelings in the world.”
295,W. Somerset Maugham,0 likes,"a-writer-s-notebook,authors,experiences,expression,maugham,poets,w-somerset-maugham,writer,writing","“People wonder at the romantic lives of poets and artists, but they should rather wonder at their gift of expression. The occurrences which pass unnoticed in the life of the average man in the existence of a writer of talent are profoundly interesting. It is the man they happen to that makes their significance.”"
296,Oliver Markus Malloy,0 likes,"authors,authors-on-writing,writers,writers-on-writing,writers-quotes,writing-process,writing-quotes",“I'm in love with my own words.”
297,Vikrmn,0 likes,"authors,chartered-accountant,corpkshetra,inspirational,karma-kshetra,motivational,paradise,vikram,vikram-verma,vikrmn","“Chirpy greens, free thoughts, a paper, a pen and a crazy mind; Authors' paradise.”"
298,Animesh Yadav,0 likes,"animesh,authors,believe,bestseller,bestseller-author,bestsellers,entrepreneur,entrepreneur-quotes,inspirational-quotes,motivational-quotes",“You have the power to create your own reality. You can create the life that you desire. You only have to hold on to your dreams.”
299,Diane M Chattaway,0 likes,"authors,authors-on-writing,writers-life,writers-on-writing,writing,writing-process","“While writing Bless me, Father, I became more like the reader than the writer. Every time I thought Okay, I will write one more paragraph and then take a break. But every time, I would end up in a place where I would intrigue even myself and have to keep writing. I wrote 11,000 words in one day because I needed to know what was going to happen next. It was a process that got me to thinking that, perhaps outlining might not be such a bad thing after all. This way, it isn't such a surprise even to me, and I can take a break here and there.”"
300,Kevin Ansbro,26 likes,"author,authors,magical-realism,writing,writing-advice,writing-philosophy","“To master magical realism, one must make the real seem unreal but, more importantly, make the unreal seem real.”"
301,Nitin Kumar,6 likes,authors,"“Yes, I am an author. I have written some beautiful love stories and witnessed some ugly relationships.”"
302,Israelmore Ayivor,5 likes,"authors,bad-writing,editing,editor,empty-page,israelmore-ayivor,page,publishing,writers,writing",“A person who wrote badly did better than a person who does not write at all. A bad writing can be corrected. An empty page remains an empty page.”
303,Alan Garner,4 likes,"authors,writing,writing-books",“It's not a job but a condition.
304,Israelmore Ayivor,2 likes,"alphabet,authors,encyclopedia,israelmore-ayivor,library,one-step-at-a-time,publish,publishing,writers,writing","“One alphabet at a time, you can write an encyclopaedia. One word at a time, you can publish an entire library.”"
305,J. Spredemann,2 likes,"artist-quotes,authors,authorship,fiction-writing,nonfiction-writing,novelist-quotes,novelists,writing,writing-quotes",“Writing - the act of one person giving a piece of their soul to another.”
306,Kilroy J. Oldster,1 likes,"artistic,artistic-creativity,artistic-endeavor,artistic-expression,artistic-inspiration,artistic-passion,artistic-process,artistic-vision,author,authors,autobiography,human-nature,journey-of-becoming,journey-of-self-discovery,journey-of-the-mind,journey-of-the-soul,journey-of-your-life,memoir,memoir-writing,narrative-writing,self-discovery,self-truth,story-of-a-soul,story-of-life,story-of-my-life,story-of-your-life,writers-on-thinking,writers-on-writing,writers-on-writing-books,writers-voice,writing,writing-philosophy,writing-process","“An author’s operating charter is to unearth embedded symbols that reflect complementary and inconsistent relationships of our collective assemblage, combine harmonizing and contradictory conceptions that motivate us, and delve larger truths out of variable and erratic elements of human nature.”"
307,Charles Bukowski,1 likes,"authors,books,literature,literature-about-literature","“I walked around the library looking for books. I pulled them off the shelves, one by one. But they were all tricks. They were very dull. There were pages and pages of words that didn't say anything. Or if they did say something they took too long to say it and by the time they said it you already were too tired to have it matter at all. I tried book after book. Surely, out of all those books, there was one.”"
308,William Faulkner,1 likes,"authors,writing,writing-advice",“Don't be 'a writer.' Be writing.”
309,Ernest Agyemang Yeboah,1 likes,"authors,writers-quotes,writing",“Don’t ever undermine writers for life is much about writing and memories are well kept through writing”
310,Israelmore Ayivor,1 likes,"authors,book,books,inspirational-writers,israelmore-ayivor,publishing,read,reading,writers,writing","“You can’t give what you don’t have. To write, you must read. To write well, read well.”"
311,Carolyn M. Walker,1 likes,"author,authors,carolynmwalker,inspirational,quote","“Mind over matter, pen over paper.”"
312,Kurt Vonnegut Jr.,1 likes,"authors,constitution,first-amendment,free-speech,freedom-of-the-press,literary-freedom,literature,writers,writing","“It may be that the most striking thing about members of my literary generation in retrospect will be that we were allowed to say absolutely anything without fear of punishment. Our American heirs may find it incredible, as most foreigners do right now, that a nation would want to enforce as a law something which sounds more like a dream, which reads as follows:"
313,Kilroy J. Oldster,1 likes,"authors,autobiography,memoir,memoir-writing,writers-on-writing,writing-life","“Autobiographical writing acts as a timeless testament to each person’s epic record of adventure, heartache, road to perdition, and achievement of a spiritual life devoid of the consternation, trepidation, foreboding fear, and inconsolably hankering for what is unattainable for humankind.”"
314,Robin Sacredfire,1 likes,"art,artist,authors,creativity,musicians,singers,songwriters,writers","“Whenever an artist becomes dominated by his own ignorance, his art loses value, for it is only the professional artist that can be humble enough to admit that he is a tool in the hands of creativity.”"
315,Fidelis O Mkparu,1 likes,"authors,diaspora,diverse-books,fiction,love,love-quotes,novel,sailing,stranded-hearts","“Cold November nights. It feels as if summer never happened. The beauty of setting sun, moon, and stars. Sailing to nowhere, but finding happiness in our togetherness. Never forget what we are. Stranded hearts."" Fidelis O. Mkparu (2016), author of 'Love's Affliction' (and soon to be published 'Tears before Exaltation')”"
316,Jennifer Probst,1 likes,"authors,writing-process",“The ending to your book is different from the ending to your plot.”
